Washington St,Dead End,0.0455
Draper St,Ditson St,0.0835
Perkins St,Moraine St,0.1015
Tremont St,Charles St,0.1519
Walnut St,Charles St,0.2008
St Botolph St,Dead End,0.0517
Lawn St,Fisher Ave,0.0803
East First St,East Second St,0.0568
East First St,East Second St,0.0568
Centre St,Melville Ave,0.1955
Walnut Ave,Harold St,0.121
Cheslea St,Princeton St,0.2093
Bowdoin St,Bowdoin Ave,0.1991
Talbot Ave,Dorchester Ave,0.5405
Tremont St,West Canton St,0.3938
Lamartine St,Washington St,0.3515
Westview St,Dead End,0.3042
Morton St,Maryknoll St,0.1705
Commonwealth Ave,Chiswick Rd,0.0943
Merchants Row,Commercial St,0.1047
Boylston St,Porter St,0.0379
Centre St,Mozart St,0.235
India St,Dead End,0.0795
Washington St,Dead End,0.1848
Dimock St,School St,0.193
Chestnut Hill Ave,Dead End,0.1438
Moulton St,Medford St,0.9085
Gladeside Ave,Ridgeview Ave,0.1117
Quincy St,Columbia Rd,0.1769
Charles St,David G Mugar Way,0.1627
Market St,South Hobbart St,0.3021
Blue Hill Ave,Normandy St,0.1273
Sumner St,Porter St,0.347
Dorchester Ave,Geneva Ave,0.2737
Dorchester Ave,Geneva Ave,0.2737
Walnut Ave,Harold St,0.121
Cambridge St,Myrtle St,0.1252
Morton St,Maryknoll St,0.2354
Gladeside Ave,Ridgeview Ave,0.1117
Beacon St,Beaver Pl,0.0373
Alford St,Somerville Town Line,0.1898
Chauncy St,Summer St,0.1432
Laurel St,Dead End,0.1182
Massachusetts Ave,Dalton St,0.1525
Market St,Oakland St,0.4112
Boylston St,Nashua St,1.0884
Tremont St,Parker Hill Ave,0.5669
State St,Milk St,0.0604
Arlington St,Hereford St,0.7949
Porter St,Prescott St,0.4913
